,Name,span_name,align_name,bridge_name,Station,Type,Angle,LeftWidth,RightWidth,SpaceList,PierAngleList,FundAngleList,H0,H1,SlopLeft,SlopRight,SlopReal,bridge,cap,ramp,BridgeLeft,BridgeRight,pier,pier_h,block_type,block_length,block_weight,cap_length,bridge_length,P1,P2,P3,span1,span2
144,SEC2/ML02/P41,M1K+17345.000,M1K,SEC202,17345.0,FC2,90.0,10.449991138957,27.6352312804516,"7.8,13.8,37.0352224194086,0","0,0,0,0","0,0,0,0",1666.3776071488,1655.6055,2.5,-2.5,-0.5,"[-10.799991138957, 15.470887237017]","[-10.449991138957, 27.6352312804516]",[0],10.799991138957,15.470887237017,[-3.      3.     26.2352],10.77210714880016,"['CB06', 'CB14', 'CB16', 'CB15']","[11.7, 8.45, 8.635222419408596, 8.4]","[123.904, 87.27250000000001, 69.5135404762392, 91.759]",38.085222419408595,26.270878375974,-3.0,3.0,26.2352,6.0,23.2352
145,SEC2/ML02/P42,M1K+17375.000,M1K,SEC202,17375.0,FC2,90.0,10.44999113901,26.7998530614243,"7.8,13.8,36.1998442004343,0","0,0,0,0","0,0,0,0",1666.52760743787,1655.4015,2.5,-2.5,-0.5,"[-10.79999113901, 14.821500345377]","[-10.44999113901, 26.7998530614243]",[0],10.79999113901,14.821500345377,[-3.      3.     25.3999],11.126107437870132,"['CB06', 'CB14', 'CB16', 'CB15']","[11.7, 8.45, 7.799844200434304, 8.4]","[123.904, 87.27250000000001, 62.78874581349616, 91.759]",37.2498442004343,25.621491484387,-3.0,3.0,25.3999,6.0,22.3999
146,SEC2/ML02/P43,M1K+17405.000,M1K,SEC202,17405.0,FC2,90.0,10.449991142625,25.2134621451289,"7.8,13.8,34.6134532877539,0","0,0,0,0","0,0,0,0",1666.69590918202,1654.73525,2.5,-2.5,-0.3,"[-10.799991142625, 13.627096235507]","[-10.449991142625, 25.2134621451289]",[0],10.799991142625,13.627096235507,[-3.      3.     23.8135],11.960659182019981,"['CB06', 'CB14', 'CB16', 'CB15']","[11.7, 8.45, 6.213453287753904, 8.4]","[123.904, 87.27250000000001, 50.01829896641893, 91.759]",35.6634532877539,24.427087378132,-3.0,3.0,23.8135,6.0,20.8135
194,SEC2/ML04L/P07,L1K+18798.000,L1K,SEC204L,18798.0,F2,90.0,6.15,18.4,"7,23.5,0,0","0,0,0,0","0,0,0,0",1668.23695504106,1657.7831,-2.5,-2.5,-2.5,"[-6.500000415788, 16.682835924198]","[-6.15, 18.4]",[0],6.500000415788,16.682835924198,[ 0.5 17. ],10.453855041059796,"['CB17', 'CB18', 'CB17']","[10.65, 8.299999999999997, 5]","[128.07150000000001, 95.86499999999998, 62.81400000000001]",24.549999999999997,23.182836339985997,0.5,17.0,0.0,16.5,0.0
195,SEC2/ML04L/P08,L1K+18828.000,L1K,SEC204L,18828.0,F2,90.0,6.15,16.8,"7,21.9,0,0","0,0,0,0","0,0,0,0",1668.30076419663,1658.1764,-2.5,-2.5,-2.5,"[-6.500000416024, 17.183098994538]","[-6.15, 16.8]",[0],6.500000416024,17.183098994538,[ 0.5 15.4],10.12436419663004,"['CB17', 'CB18', 'CB17']","[10.65, 6.700000000000003, 5]","[128.07150000000001, 77.38500000000003, 62.81400000000001]",22.950000000000003,23.683099410562,0.5,15.4,0.0,14.9,0.0
196,SEC2/ML04L/P09,L1K+18858.000,L1K,SEC204L,18858.0,F2,90.0,6.15,19.8,"1.75,24.9,0,0","0,0,0,0","0,0,0,0",1668.40743126652,1658.2397,-2.5,-2.5,-2.5,"[-6.500000411495, 17.678386960765]","[-6.15, 19.8]",[0],6.500000411495,17.678386960765,[-4.75 18.4 ],10.167731266519922,"['CB17', 'CB18', 'CB17']","[6.925000000000002, 11.5, 6.925000000000002]","[85.04775000000002, 132.82500000000002, 85.04775000000002]",25.950000000000003,24.178387372259998,-4.75,18.4,0.0,23.15,0.0
199,SEC2/ML04L/P12,L1K+18940.000,L1K,SEC204L,18940.0,F2,90.0,6.15,20.4,"7,25.5,0,0","0,0,0,0","0,0,0,0",1668.91839452919,1658.006,-0.345176470588151,-0.345176470588151,-0.3,"[-6.499988309221, 19.327485549422]","[-6.15, 20.4]",[0],6.499988309221,19.327485549422,[ 0.5 19. ],10.912394529189896,"['CB17', 'CB18', 'CB17']","[10.65, 10.299999999999997, 5]","[128.07150000000001, 118.965, 62.81400000000001]",26.549999999999997,25.827473858643,0.5,19.0,0.0,18.5,0.0
200,SEC2/ML04L/P13,L1K+18970.000,L1K,SEC204L,18970.0,F3,90.0,12.0827015421416,21.869420800857,"-4.18261497217356,9.71572013835006,26.969507370825,0","0,0,0,0","0,0,0,0",1669.14829821525,1657.62,1.41952941176479,1.41952941176479,1.4,"[-6.500086569968, 20.211124613556]","[-12.0827015421416, 21.869420800857]",[0],6.500086569968,20.211124613556,[-10.6827   3.2156  20.4694],11.52829821525006,"['CB17', 'CB21', 'CB18', 'CB17']","[9.9983, 10, 8.053800000000003, 5]","[120.54436500000001, 145.97000000000003, 93.02139000000004, 62.81400000000001]",33.9521223429986,26.711211183524,-10.6827,3.2156,20.4694,13.8983,17.253800000000002
201,SEC2/ML04L/P14,L1K+19000.000,L1K,SEC204L,19000.0,F3,90.0,9.13219710950856,25.0421207615329,"-1.23162078405757,13.0574128057259,30.1426970869839,0","0,0,0,0","0,0,0,0",1669.38350247487,1657.177,3.18423529411773,3.18423529411773,3.2,"[-6.500576325451, 21.484567969768]","[-9.13219710950856, 25.0421207615329]",[0],6.500576325451,21.484567969768,[-7.7322  6.5568 23.6421],12.206502474870149,"['CB17', 'CB21', 'CB18', 'CB17']","[10.389, 10, 7.885300000000001, 5]","[125.05695000000001, 145.97000000000003, 91.07521500000003, 62.81400000000001]",34.17431787104146,27.985144295219,-7.7322,6.5568,23.6421,14.289,17.0853
202,SEC2/ML04L/P15,L1K+19030.000,L1K,SEC204L,19030.0,F3,90.0,8.07179869488742,30.5404036128904,"-0.170487101660415,15.0333221592365,35.6417152061174,0","0,0,0,0","0,0,0,0",1669.61600041618,1656.8485,4.0,4.0,4.0,"[-6.501311593227, 23.432089380052]","[-8.07179869488742, 30.5404036128904]",[0],6.501311593227,23.432089380052,[-6.6718  8.532  29.1404],12.767500416179928,"['CB17', 'CB21', 'CB18', 'CB17']","[11.3038, 10, 11.4084, 5]","[135.62289, 145.97000000000003, 131.76702000000003, 62.81400000000001]",38.61220230777782,29.933400973279,-6.6718,8.532,29.1404,15.203800000000001,20.6084
203,SEC2/ML04L/P16,L1K+19060.000,L1K,SEC204L,19060.0,F3,90.0,11.4135724373571,33.9082274542107,"-3.51357197146514,15.6416999797055,39.0082279201026,0","0,0,0,0","0,0,0,0",1669.84933480628,1656.74,4.0,4.0,4.0,"[-6.500000465892, 26.262843556474]","[-11.4135724373571, 33.9082274542107]",[0],6.500000465892,26.262843556474,[-10.0136   9.1417  32.5082],13.109334806280003,"['CB17', 'CB18', 'CB21', 'CB18', 'CB17']","[5, 9.955300000000001, 10, 11.5, 7.666500000000003]","[62.81400000000001, 114.98371500000002, 145.97000000000003, 132.82500000000002, 93.61207500000003]",45.32179989156781,32.762844022366,-10.0136,9.1417,32.5082,19.1553,23.366500000000002
204,SEC2/ML04L/P17,L1K+19085.000,L1K,SEC204L,19085.0,F3,90.0,15.7885625598026,35.9431671517671,"-7.88856209005865,15.1918291146025,41.0431676215112,0","0,0,0,0","0,0,0,0",1670.04377689548,1656.51725,4.0,4.0,4.0,"[-6.500000469744, 29.221615250057]","[-15.7885625598026, 35.9431671517671]",[0],6.500000469744,29.221615250057,[-14.3886   8.6918  34.5432],13.526526895479947,"['CB17', 'CB18', 'CB21', 'CB18', 'CB17']","[7.380400000000002, 11.5, 10, 11.5, 10.151399999999999]","[90.30762000000003, 132.82500000000002, 145.97000000000003, 132.82500000000002, 122.31267]",51.7317297115697,35.721615719801,-14.3886,8.6918,34.5432,23.0804,25.851399999999998
